,arrivals
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,1.0
87,7.0
88,5.0
89,5.0
90,5.0
91,8.0
92,6.0
93,4.0
94,4.0
95,6.0
96,10.0
97,6.0
98,4.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,2.0
112,5.0
113,8.0
114,10.0
115,10.0
116,10.0
117,7.0
118,6.0
119,5.0
120,7.0
121,4.0
122,2.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,2.0
136,4.0
137,4.0
138,7.0
139,8.0
140,7.0
141,6.0
142,6.0
143,3.0
144,3.0
145,3.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,5.0
160,4.0
161,3.0
162,4.0
163,7.0
164,4.0
165,2.0
166,3.0
167,3.0
168,3.0
169,4.0
170,1.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,3.0
183,6.0
184,5.0
185,4.0
186,5.0
187,5.0
188,7.0
189,4.0
190,4.0
191,3.0
192,6.0
193,6.0
194,2.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,1.0
207,5.0
208,6.0
209,4.0
210,5.0
211,7.0
212,6.0
213,3.0
214,5.0
215,6.0
216,6.0
217,6.0
218,2.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,1.0
231,6.0
232,5.0
233,5.0
234,4.0
235,6.0
236,6.0
237,4.0
238,3.0
239,5.0
240,6.0
241,6.0
242,2.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,1.0
255,7.0
256,6.0
257,6.0
258,5.0
259,8.0
260,6.0
261,4.0
262,4.0
263,5.0
264,7.0
265,7.0
266,2.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,1.0
280,5.0
281,8.0
282,10.0
283,10.0
284,11.0
285,6.0
286,6.0
287,5.0
288,6.0
289,6.0
290,2.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,2.0
304,3.0
305,5.0
306,8.0
307,8.0
308,7.0
309,5.0
310,5.0
311,3.0
312,3.0
313,1.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,5.0
328,4.0
329,3.0
330,3.0
331,6.0
332,4.0
333,3.0
334,2.0
335,3.0
336,3.0
337,2.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,3.0
351,6.0
352,4.0
353,3.0
354,4.0
355,4.0
356,6.0
357,4.0
358,3.0
359,4.0
360,6.0
361,5.0
362,2.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,1.0
375,5.0
376,5.0
377,5.0
378,4.0
379,6.0
380,5.0
381,2.0
382,6.0
383,4.0
384,6.0
385,6.0
386,3.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,1.0
399,5.0
400,5.0
401,5.0
402,4.0
403,5.0
404,7.0
405,4.0
406,3.0
407,5.0
408,8.0
409,6.0
410,2.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,1.0
423,7.0
424,5.0
425,5.0
426,4.0
427,8.0
428,6.0
429,6.0
430,4.0
431,6.0
432,9.0
433,7.0
434,3.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,1.0
448,5.0
449,8.0
450,12.0
451,10.0
452,11.0
453,7.0
454,5.0
455,5.0
456,6.0
457,7.0
458,2.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,2.0
472,3.0
473,4.0
474,8.0
475,7.0
476,7.0
477,7.0
478,4.0
479,3.0
480,4.0
481,2.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,6.0
496,4.0
497,4.0
498,4.0
499,6.0
500,5.0
501,3.0
502,3.0
503,3.0
504,4.0
505,4.0
506,1.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,2.0
519,7.0
520,6.0
521,3.0
522,5.0
523,5.0
524,5.0
525,5.0
526,4.0
527,4.0
528,7.0
529,5.0
530,3.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,1.0
543,5.0
544,6.0
545,4.0
546,5.0
547,7.0
548,7.0
549,2.0
550,5.0
551,6.0
552,7.0
553,5.0
554,4.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,1.0
567,5.0
568,4.0
569,5.0
570,4.0
571,6.0
