connectionTime;disconnectTime;doneChargingTime;kWh;spaceID;stationID
Wed, 25 Apr 2018 11:08:04 GMT;Wed, 25 Apr 2018 13:20:10 GMT;Wed, 25 Apr 2018 13:21:10 GMT;7.932;CA-496;2-39-78-362
Wed, 25 Apr 2018 13:45:10 GMT;Thu, 26 Apr 2018 00:56:16 GMT;Wed, 25 Apr 2018 16:44:15 GMT;10.013;CA-319;2-39-95-27
Wed, 25 Apr 2018 13:45:50 GMT;Wed, 25 Apr 2018 23:04:45 GMT;Wed, 25 Apr 2018 14:51:44 GMT;5.257;CA-489;2-39-79-380
Wed, 25 Apr 2018 14:37:06 GMT;Wed, 25 Apr 2018 23:55:34 GMT;Wed, 25 Apr 2018 16:05:22 GMT;5.177;CA-327;2-39-79-379
Wed, 25 Apr 2018 14:40:34 GMT;Wed, 25 Apr 2018 23:03:12 GMT;Wed, 25 Apr 2018 17:40:30 GMT;10.119;CA-490;2-39-79-381
Wed, 25 Apr 2018 14:43:50 GMT;Thu, 26 Apr 2018 01:17:30 GMT;Wed, 25 Apr 2018 16:18:28 GMT;7.91;CA-303;2-39-139-28
Wed, 25 Apr 2018 14:47:42 GMT;Wed, 25 Apr 2018 18:27:51 GMT;Wed, 25 Apr 2018 18:27:42 GMT;15.294;CA-499;2-39-91-441
Wed, 25 Apr 2018 14:58:25 GMT;Wed, 25 Apr 2018 19:06:29 GMT;Wed, 25 Apr 2018 16:48:29 GMT;6.953;CA-325;2-39-79-377
Wed, 25 Apr 2018 15:10:52 GMT;Wed, 25 Apr 2018 18:15:46 GMT;Wed, 25 Apr 2018 16:07:56 GMT;2.174;CA-491;2-39-79-382
Wed, 25 Apr 2018 15:12:11 GMT;Wed, 25 Apr 2018 18:29:21 GMT;Wed, 25 Apr 2018 18:30:20 GMT;2.439;CA-496;2-39-78-362
Wed, 25 Apr 2018 15:14:06 GMT;Wed, 25 Apr 2018 18:33:30 GMT;Wed, 25 Apr 2018 18:33:20 GMT;6.955;CA-323;2-39-78-366
Wed, 25 Apr 2018 15:14:41 GMT;Thu, 26 Apr 2018 02:26:03 GMT;Wed, 25 Apr 2018 16:18:11 GMT;3.249;CA-317;2-39-91-437
Wed, 25 Apr 2018 15:14:49 GMT;Wed, 25 Apr 2018 23:52:50 GMT;Wed, 25 Apr 2018 16:42:00 GMT;2.72;CA-493;2-39-78-361
Wed, 25 Apr 2018 15:20:56 GMT;Wed, 25 Apr 2018 23:49:32 GMT;Wed, 25 Apr 2018 16:07:41 GMT;2.575;CA-322;2-39-78-360
