name,sum,coords(lat-long)
ΑΧΑΡΝΩΝ,9,"[[38.0977030291195, 23.73966336250305], [38.05741804893484, 23.73090863227844], [38.06249500934421, 23.73169183731079], [38.0912083, 23.7569377], [38.130513, 23.795395], [38.1198157, 23.7469084], [38.0850293, 23.7246752], [38.1044138, 23.7631114], [38.119816, 23.746908]]"
ΑΜΑΡΟΥΣΙΟΥ,21,"[[38.05989321673026, 23.808553218841556], [38.0292645182168, 23.789069652557377], [38.02988989423409, 23.789155483245853], [38.044525548615255, 23.810763359069828], [38.04839522690295, 23.80772709846497], [38.0475326, 23.8037387], [38.0475223, 23.8050007], [38.0395411, 23.8025327], [38.048398, 23.807722], [38.0559192, 23.8122002], [38.0545509, 23.8117699], [38.0526784, 23.8276487], [38.055919, 23.8122], [38.06388, 23.809126], [38.05611, 23.81205], [38.02822, 23.78283], [38.033279, 23.793658], [38.0412291, 23.8041757], [38.0437109, 23.8013692], [38.0443608, 23.8119263], [38.0345272, 23.7846414]]"
ΑΙΓΙΑΛΕΙΑΣ,8,"[[38.15733805696086, 22.342940568923957], [38.00545400485856, 22.197779417037964], [38.17258923362085, 22.33675003051758], [38.233978, 22.099393], [38.006371, 22.197342], [38.196297, 22.156578], [38.2417627, 22.0934941], [38.1518455, 22.3487142]]"
ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,20,"[[38.052416771864856, 23.76725792884827], [38.04799812959679, 23.75600337982178], [35.337691321224135, 25.16472101211548], [35.3380961, 25.1222103], [35.34419, 25.1552428], [35.333909414588, 25.114766450434], [35.314031, 25.141507], [35.32444, 25.1439592], [35.337893, 25.1665745], [35.338674, 25.141214], [38.0497211, 23.7660297], [38.0552074, 23.7697523], [35.33749911, 25.12097806], [35.3361, 25.12073], [35.338472, 25.143496], [38.0633696, 23.7783667], [35.305074, 25.0724805], [35.3340632, 25.1647376], [35.3387352, 25.1442126], [35.3091827, 25.1573304]]"
ΒΡΙΛΗΣΣΙΩΝ,6,"[[38.034825106834525, 23.824056386947635], [38.0436058, 23.8449189], [38.0439518, 23.8435676], [38.0381947, 23.8282536], [38.034107, 23.8295418], [38.0346486, 23.8239179]]"
ΦΙΛΟΘΕΗΣ-ΨΥΧΙΚΟΥ,3,"[[38.00815072045855, 23.778587579727176], [38.00673051896368, 23.777375221252445], [38.0058555, 23.7765988]]"
ΠΕΡΙΣΤΕΡΙΟΥ,9,"[[38.00570761870154, 23.68755340576172], [38.004380363205904, 23.68732810020447], [37.998335551843525, 23.69665145874024], [38.01156585428486, 23.70803475379944], [38.005090490153805, 23.67727518081665], [38.007639, 23.6985098], [38.004232, 23.687996], [38.0044206, 23.7015142], [38.0054021, 23.7011298]]"
ΑΛΙΜΟΥ,9,"[[37.91970767136974, 23.74405145645142], [37.91207303005724, 23.71037364006043], [37.91765943074892, 23.707605600357056], [37.9253814, 23.7419229], [37.9077561, 23.7359726], [37.9171158, 23.7341439], [37.9197615, 23.7071713], [37.9043156, 23.7263563], [37.9162688, 23.7058157]]"
ΓΑΛΑΤΣΙΟΥ,2,"[[38.02283297672886, 23.758406639099125], [38.0143413, 23.754023]]"
ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,13,"[[38.01543727397776, 23.817458152771], [38.011996961354285, 23.81367087364197], [38.01046694244368, 23.809175491333008], [38.01099104091504, 23.840718269348148], [38.013526948330494, 23.82730722427368], [38.01354385408553, 23.832768201828006], [38.0156216, 23.8385585], [38.00876, 23.805698], [38.01237, 23.835926], [38.0143231, 23.8180151], [38.014084, 23.82676], [37.9992769, 23.8179567], [38.0134478, 23.8333995]]"
ΜΟΣΧΑΤΟΥ-ΤΑΥΡΟΥ,9,"[[37.96699600025053, 23.693411350250248], [37.97602884660737, 23.692435026168823], [37.9577347, 23.6925434], [37.95927, 23.688023], [37.967696, 23.7008522], [37.9571158, 23.6798931], [37.9759719, 23.6948998], [37.9710331, 23.7019096], [37.9588759, 23.6869958]]"
ΝΙΚΑΙΑΣ-ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,13,"[[37.95732759357514, 23.678680658340458], [37.96540583360206, 23.65993738174439], [37.975445297421565, 23.66756558418274], [37.978388367747655, 23.63827586174012], [37.95925630126432, 23.676052093505863], [37.9706383, 23.6648202], [37.970917384894, 23.675869899858], [37.971785, 23.663658], [37.969959, 23.677783], [37.9577095, 23.6643783], [37.976082, 23.6804532], [37.9577319, 23.6643778], [37.9673772, 23.6710136]]"
ΕΛΛΗΝΙΚΟΥ-ΑΡΓΥΡΟΥΠΟΛΗΣ,6,"[[37.90580052011348, 23.74703407287598], [37.911448, 23.745639], [37.9065709, 23.7442815], [37.8801072, 23.7313937], [37.8923536, 23.7487563], [37.9103433, 23.7445726]]"
ΧΑΪΔΑΡΙΟΥ,5,"[[38.013974949522, 23.67285490036011], [38.01522595721816, 23.65211606025696], [38.0114587, 23.6473653], [38.0126123, 23.6552087], [38.0136906, 23.6328599]]"
ΑΙΓΑΛΕΩ,6,"[[37.99588366813916, 23.670451641082764], [37.98841760026276, 23.68598699569702], [37.980570223017104, 23.676760196685795], [37.9865772, 23.6744085], [37.9883968, 23.6946633], [38.0075856, 23.6722357]]"
ΚΕΡΑΤΣΙΝΙΟΥ-ΔΡΑΠΕΤΣΩΝΑΣ,1,"[[37.96586258712215, 23.6151659488678]]"
ΑΠΟΚΟΡΩΝΟΥ,5,"[[35.45789096936692, 24.16575908660889], [35.36262, 24.2614], [35.361774, 24.261893], [35.351423099852, 24.31225478253], [35.351304, 24.312653]]"
